ds,Primary Sales,Sales Return,Breakage,Against Expiry
2024-04-02,3484.603683508374,-12.205008890944272,9.097274474668374,5.444344568229258
2024-04-03,3430.210363681348,22.662625630994736,5.432722193335989,-2.3904985070686937
2024-04-04,3252.1704672986994,10.524093375230244,-1.8562415344151395,-19.670295863791978
2024-04-05,3555.4759744815165,17.716788609971616,7.4028963867725315,12.910538431993238
2024-04-06,4098.47506063628,61.04180798004422,14.387444808856593,37.046159398950756
2024-04-08,3622.287231707683,-66.71488514920019,11.848538314101548,20.967019357751592
2024-04-09,3223.0349464001206,-12.959764267119128,7.6227576433755475,2.5692254024645447
2024-04-10,3168.641626563214,21.907870254941326,3.9582053620117836,-5.265617672783719
2024-04-11,2990.6017301849074,9.76933799909549,-3.3307583657234776,-22.545415029521113
2024-04-12,3293.907237371246,16.962033233827512,5.9283795554819685,10.035419266274051
2024-04-13,3828.262706399435,53.5278034644477,8.360116963201571,29.36402139344905
2024-04-15,3334.7876432211197,-87.74738794364097,-3.284411560281291,3.6708436726182616
2024-04-16,2926.8917407844638,-40.751516200863065,-12.063003245375832,-19.53396912241619
2024-04-17,2863.8548038238396,-12.643130818308807,-20.280366541097028,-32.17583103746018
2024-04-18,2677.1712903166153,-31.540912213529033,-32.12214128319559,-54.262647233942104
2024-04-19,2971.8331803710926,-31.107466118274164,-27.41581437640363,-26.488831778046407
2024-04-20,3506.1886494014857,5.458304112497579,-24.98407696864129,-7.160229650726695
2024-04-22,3012.713586227153,-135.81688729565082,-36.6286054921227,-32.853407371631086
2024-04-23,2534.2276891499855,-83.5380014880449,-42.756474106292636,-69.6675806085809
2024-04-24,2400.6007575579583,-50.14660204089979,-48.32311433107596,-95.91880296563934
2024-04-25,2143.3272494115545,-63.76136937126473,-57.514166002255635,-131.61497960410742
2024-04-26,2367.399144845665,-58.04490921163989,-50.15711602446571,-117.45052459017326
2024-04-27,3141.7012981659673,0.7396874493872545,-35.312961897169245,-71.2555157777752
2024-04-29,3128.11960357318,-96.0978510981997,-22.132656981554582,-43.21588012840536
2024-04-30,2960.170385434587,-26.883152925522822,-18.498831947074745,-39.554286238382744
2024-05-01,2842.4043985793696,9.414702002531284,-19.535915097850484,-46.0456391479621
2024-05-02,2600.991835184344,-1.2936098474618887,-24.1974096949523,-61.981946338932886
2024-05-03,2840.924675343701,7.329305793161366,-12.310802643183663,-28.05762187744051
2024-05-04,3320.551094478713,52.084545569177436,-2.6987850904678927,-2.578510744622779
2024-05-06,2717.617931517335,-72.81170674839744,0.0172466759962413,-15.970670454422716
2024-05-07,2254.9929791835334,-17.62636546047259,-1.5810648641241427,-33.024974243884415
2024-05-08,2137.226992330062,18.671489467509314,-2.618148014901248,-39.51632715348939
2024-05-09,1965.1214268654687,-3.2335283240497703,-12.75748119764186,-70.08342044941342
2024-05-10,2274.3612649663396,-5.807318625165684,-6.348712731466753,-50.78988209288237
2024-05-11,2823.2946820360507,27.751215209157426,-2.2145337643994134,-39.94155706514434
2024-05-13,2358.9755149311886,-119.53844899148518,-10.45417916921535,-82.595288984775
2024-05-14,1965.6575605383007,-75.5498136451875,-17.53032929496425,-114.28037887930445
2024-05-15,1917.1985716154393,-50.44866465884583,-24.045251031380232,-135.4025178938565
2024-05-16,1745.093006151519,-72.35368245036709,-34.184584214112334,-165.96961118978012
2024-05-17,2000.5669561005802,-63.95782236863078,-22.953981281628305,-123.14904554036846
2024-05-18,2495.7344850106747,-19.42963815127331,-13.99796784830578,-88.77369321983701
2024-05-20,1923.8835416101501,-144.7800015863237,-12.59394432050428,-84.3733705538862
2024-05-21,1476.7996990585186,-89.82171585698806,-14.848259979969487,-92.53143315552438
2024-05-22,1374.5748219901739,-53.750916487921074,-16.541347250046073,-90.12654487722949
2024-05-23,1148.7033683685538,-64.68628389645771,-21.858845966525653,-97.16661088037102
2024-05-24,1667.2900959621506,-50.15788344348154,-11.124220218578305,-72.56989959559138
2024-05-25,2425.5704025274417,0.5028411447158092,-2.664183969742629,-56.418401639683516
2024-05-27,2379.9450144108287,-112.58244154783094,-2.252114811041153,-88.46578770296819
2024-05-28,2195.9739495080144,-51.49161544743519,-5.002407655029923,-114.84770466931242
2024-05-29,2758.298324856759,-10.16606423137574,-5.70142778873501,-80.62446799328626
2024-05-30,3196.9761236419304,-15.846679792712019,-10.0248593688596,-55.84618559860354
2024-05-31,3394.7349128731994,-5.444182588521232,0.3655473117021927,-9.37960856793859
2024-06-01,3832.187281065614,41.09063875105297,8.481364493091377,28.641755133801155
2024-06-03,3144.906016226818,-80.24645043921646,8.204995517006981,40.33410056217546
2024-06-04,2640.1070129622426,-23.281527587591988,5.110483605621701,35.822049341676255
2024-06-05,2480.1669751689187,14.795908903819576,2.5772000835872078,41.87294900121997
2024-06-06,2215.995918120822,-0.8380784026901078,-6.781421709094212,-7.876242084792228
2024-06-07,2433.1702646299514,2.8591617813053043,0.4080581471093553,-7.764801518336137
2024-06-08,2890.038190104327,42.68872610101447,5.3229485042125795,-16.098574280559717
2024-06-10,2241.588039835655,-92.05887712961054,-1.3552741204698489,-97.11650178037368
2024-06-11,1756.2045938493104,-41.79921129795061,-7.650712856179126,-147.98368946493002
2024-06-12,1615.680113344752,-10.4270318267973,-13.384923202481936,-188.2879262694458
2024-06-13,1417.461022077056,-24.89480903805506,-24.911885492864627,-196.6548438748482
2024-06-14,1700.587334368606,-20.03135875878428,-19.89074613432285,-155.16112982770034
2024-06-15,2223.4072256210898,20.964415656174772,-17.14419627490376,-122.11262910924589
